signup_week,0,1,2,3,4,5,6,7,8,9,10,11,12
2026-09-07,4.7,19.5,20.8,29.5,23.5,24.8,21.5,32.9,25.5,18.8,25.5,25.5,23.5
2026-09-14,7.4,20.9,24.7,33.5,24.2,27.9,29.3,25.6,28.4,25.1,24.2,27.9,0.0
2026-09-21,8.1,25.4,27.4,27.9,31.5,25.4,26.9,30.5,31.5,35.5,32.0,0.0,0.0
2026-09-28,7.8,27.3,28.8,32.7,29.8,29.8,25.4,23.9,25.9,42.9,0.0,0.0,0.0
2026-10-05,11.7,25.5,31.4,33.5,25.5,41.0,28.7,33.5,36.2,0.0,0.0,0.0,0.0
2026-10-12,8.1,32.7,26.0,29.6,30.5,31.8,31.8,35.0,0.0,0.0,0.0,0.0,0.0
2026-10-19,10.5,33.0,26.8,33.0,26.3,32.5,37.8,0.0,0.0,0.0,0.0,0.0,0.0
2026-10-26,12.6,24.6,34.3,31.4,28.6,42.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-11-02,12.8,27.3,40.1,30.2,50.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-11-09,12.0,35.9,38.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-11-16,22.3,42.0,46.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-11-23,16.3,62.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-11-30,49.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
