signup_week,0,1,2,3,4,5,6,7,8,9,10,11,12
2026-09-07,0.0,0.0,0.6,0.6,0.6,0.6,0.6,0.6,0.0,0.6,1.3,0.6,2.6
2026-09-14,0.4,3.0,0.9,0.9,2.6,0.9,0.9,0.4,0.9,1.7,0.4,2.1,0.0
2026-09-21,0.0,1.5,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.0,1.0,0.0,0.0
2026-09-28,0.0,0.9,0.5,0.0,0.9,0.5,2.4,0.5,1.4,0.5,0.0,0.0,0.0
2026-10-05,0.5,2.1,1.1,2.1,0.5,1.1,3.7,2.6,1.6,0.0,0.0,0.0,0.0
2026-10-12,0.0,0.5,1.9,1.0,1.0,2.4,1.9,1.4,0.0,0.0,0.0,0.0,0.0
2026-10-19,1.0,1.0,0.0,4.0,2.0,2.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0
2026-10-26,0.6,1.1,0.0,2.2,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-11-02,0.7,1.3,2.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-11-09,0.5,1.6,1.6,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-11-16,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-11-23,1.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-11-30,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
