event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
2019-10-01 00:03:44 UTC,view,18082,1487580005411062629,,cnd,16.03,552006247,2d8f304b-de45-4e59-8f40-50c603843fe5
2019-10-01 02:11:50 UTC,view,5828610,1487580009227878422,,solomeya,2.06,555461120,470277d2-b0fc-4465-bb7c-1e97569078e4
2019-10-01 03:44:36 UTC,remove_from_cart,5836515,1487580013522845895,,nagaraku,0.08,429681830,2bd9243c-1d2b-0994-5b41-4ca26c41ce55
2019-10-01 03:49:38 UTC,purchase,5889423,2134354342373753638,,,3.49,466229100,1a46f080-837d-4872-83c8-64b6c1ab8e71
2019-10-01 04:12:55 UTC,cart,5723497,1487580005134238553,,runail,2.62,75972882,6d2fe1b2-ebb1-ed27-27bf-789ca140c2e4
2019-10-01 05:15:50 UTC,view,5838939,1487580005713052531,,ingarden,4.44,555490506,549c0b23-fc70-4969-aa78-58f49c95e834
2019-10-01 05:33:45 UTC,remove_from_cart,5884236,1487580007675986893,,,1.75,327128357,cab6c765-e878-489f-8781-b36852643da4
2019-10-01 05:52:55 UTC,remove_from_cart,5839311,1977575775473238831,,lovely,6.19,522761684,47b122b4-6545-4285-8bfe-ee7887413138
2019-10-01 06:08:43 UTC,purchase,5677014,1783999067156644376,,estel,4.29,494867012,0719f4fb-37b0-4956-852a-5bbb672ceaae
2019-10-01 06:10:03 UTC,cart,5820713,1487580006317032337,,,2.22,265366822,827696df-11ca-4f2a-b80e-ddeaa31eb9be
2019-10-01 06:13:40 UTC,view,5788438,2151191071378375538,,,0.79,528795540,bd7de97b-bc05-45b6-8203-74aca316d4b9
2019-10-01 06:19:10 UTC,view,5851313,1487580005268456287,,lianail,6.33,468782371,88a0b249-89ca-4c46-a465-27a211b5826f
2019-10-01 06:42:53 UTC,cart,5867628,1487580004916134735,,,4.7,397818974,05c3a908-a783-4f8d-bbe9-f3b80a09f585
2019-10-01 06:49:20 UTC,view,4185,1487580005411062629,,cnd,19.37,555513254,e0324567-b078-44f9-b5f8-6596df059d41
2019-10-01 06:56:48 UTC,remove_from_cart,5838932,1487580005713052531,,ingarden,4.44,555407267,5059a8c0-9b61-49b0-8ed0-ca89f26705bb
2019-10-01 07:22:06 UTC,cart,5788423,1487580007306888126,,,3.33,548735227,27e9a41f-9940-420d-bd53-7e3a918a28c0
2019-10-01 07:46:44 UTC,view,5859474,1487580005671109489,,masura,1.73,527780411,7fb6107b-3aa4-4187-9c12-37a7ade671ed
2019-10-01 08:38:32 UTC,remove_from_cart,5875317,2029082628195353599,,,1.59,289551991,0c9d69f8-9eaa-4bdb-b4c3-4d0de535e8c6
2019-10-01 08:38:53 UTC,remove_from_cart,5805117,1487580008246412266,,,3.49,443776199,fdc25849-4ef1-4c3c-b67f-354a0548ebbc
2019-10-01 09:02:29 UTC,cart,5820715,1487580006317032337,,,2.22,555545884,868693b7-df1d-40a7-bebc-858017637ee5
2019-10-01 09:19:26 UTC,view,5824195,2007399943458784057,apparel.glove,domix,0.94,549855656,02c5d4ed-c3f5-49c0-b673-6d3d38f22c04
2019-10-01 09:44:19 UTC,view,5837833,1933472286753424063,,,3.49,555569305,9723649f-b1a7-474a-a621-215cc905b7aa
2019-10-01 10:01:19 UTC,cart,5859403,1487580005671109489,,masura,2.37,555575212,cf393e5f-dc7c-416d-a8a8-12f4f53dc9da
2019-10-01 10:22:52 UTC,view,6174,1487580007776650194,,runail,0.63,463138041,e84107ef-6b84-4b9c-a45a-a91a37378715
2019-10-01 10:28:31 UTC,view,5786836,1783999068909863670,,smart,5.56,541110764,a111c105-0fd8-48c3-844c-03ca2509aab0
2019-10-01 10:44:55 UTC,remove_from_cart,5712698,2007399943458784057,apparel.glove,nitrimax,10.32,544019948,732f5c1a-6085-1340-8baa-bc71fe69b5b0
2019-10-01 11:03:22 UTC,view,5773366,1487580005134238553,,runail,2.62,498117906,6819e4f3-3037-489a-8740-eab2da9a169f
2019-10-01 11:25:59 UTC,cart,5760776,1487580005134238553,,runail,2.62,540565835,39537505-dcb7-4799-b52a-2bdffeeab3b2
2019-10-01 11:38:47 UTC,remove_from_cart,5930,1487580006241534861,,runail,1.98,477563981,df670b0d-7b3d-414d-b57f-7ed87c219659
2019-10-01 12:08:22 UTC,view,5760777,1487580005134238553,,runail,2.62,376602655,7df1390d-ff68-44ee-8b47-847bcaf1eaa7
2019-10-01 12:27:26 UTC,remove_from_cart,5858981,1487580007634043851,,de.lux,0.79,546705258,3b5c65c0-bb1c-453b-b340-4ebf973a3136
2019-10-01 13:12:14 UTC,view,5845264,1487580011677352062,,,8.73,555637163,6fd956f7-dbd8-4f7e-a347-32d46b11eb3a
2019-10-01 13:27:21 UTC,view,5724662,1487580005427839846,,irisk,2.48,398532765,97c27ad9-d49d-4ec8-b10b-9e000028d04e
2019-10-01 13:42:32 UTC,cart,5761039,1516331853567492962,,beautix,5.56,554223163,755e5fbd-0ed5-4f3f-a020-822390fbc078
2019-10-01 13:50:22 UTC,view,5695968,1487580007575323592,,,1.43,460515302,968cc2fb-acbc-4db2-82e6-6fa3ac99e387
2019-10-01 14:20:40 UTC,remove_from_cart,5783931,1487580005595612013,,,2.06,486075986,b33063a3-7fb5-48e9-9c63-51aef828a5c5
2019-10-01 14:51:15 UTC,cart,5787017,1487580006644188066,,,6.33,555293468,5ec7c5e2-18b3-3802-e0ac-965dda384112
