timestamp,itemid,property,value
1431226800000,432371,790,n0.000
1431226800000,271009,6,1065616 703408 1037495
1431226800000,289813,764,1285872
1431226800000,341811,categoryid,414
1431226800000,429724,categoryid,1167
1431226800000,177108,678,629402
1431226800000,454927,159,519769
1431226800000,199875,6,505421 945042
1431226800000,174403,888,1051803 174635 n712056480.000
1431226800000,377911,159,519769
1431226800000,26576,available,0
1431226800000,103924,764,1285872
1431226800000,428057,776,1325379
1431226800000,413790,678,212916
1431226800000,72770,776,1024610
1431226800000,302253,480,961511
1431226800000,191371,283,1037891 1318713 790484 1037891 1318713 461460 71 554804 207856 1158829 1051562 986284 1182824 30603 1322984 459299 380713 610340 790484 96063 707081 980409 471783 1040170 1103229 335933 840580 237594
1431226800000,47874,available,0
1431226800000,314017,764,1285872
1431226800000,347916,888,874465
1431226800000,259545,790,n136032.000
1431226800000,268324,364,551021
1431226800000,7624,888,475475
1431226800000,7471,available,0
1431226800000,68859,776,209638
1431226800000,423519,available,0
1431226800000,141625,790,n183588.000
1431226800000,419059,764,1285872
1431226800000,58739,categoryid,1343
1431226800000,409270,764,1285872
1431226800000,381981,159,519769
1431226800000,32303,categoryid,1135
1431226800000,252303,196,n2640.000 1144008
1431226800000,463990,6,823435 945042
1431226800000,255858,283,1163911 1224374 688778
1431226800000,50362,888,278064
1431226800000,298833,71,273705 669505
1431226800000,228578,678,71304
1431226800000,391736,159,519769
1431226800000,353261,888,258648 846084 n2256.000
1431226800000,243812,790,n66240.000
1431226800000,408912,917,312588 487492
1431226800000,82553,790,n4313.280
1431226800000,47572,6,357789
1431226800000,25822,917,566507 530519
1431226800000,83741,888,612009
1431226800000,73466,112,679677
1431226800000,79377,283,1037891 977205 473222
1431226800000,441343,888,924073 n144.120
1431226800000,417954,776,859852
1431226800000,156344,6,355479
1431226800000,291556,917,231123 1053276
1431226800000,168057,917,673277
1431226800000,346523,159,519769
1431226800000,286517,790,n39600.000
1431226800000,237760,available,0
1431226800000,437330,159,519769
1431226800000,33478,283,911724 1101877 1244910 703408 564610 982230 911724 1101877 362619 574225 1317607 28202 850319 148839 226668 1246092 30603 532620 628542 237874 717760 581854 911714 22060 150169 827166 1307259 132466 807759 154342
1431226800000,290795,764,1285872
1431226800000,360143,283,571547 1031524 989925 45956 n3312.000
1431226800000,165564,6,726714
1431226800000,313720,available,0
1431226800000,307784,6,1075351
1431226800000,279640,categoryid,627
1431226800000,48678,790,n12000.000
1431226800000,208750,364,650377
1431226800000,245458,790,n293520.000
1431226800000,160139,available,0
1431226800000,326064,917,n961182900.000
1431226800000,357955,888,1230398
1431226800000,383259,112,679677
1431226800000,322076,369,1141651
1431226800000,40473,888,396302
1431226800000,465326,917,n68782152.000
1431226800000,350781,776,83080
1431226800000,430552,790,n9600.000
1431226800000,354709,categoryid,1613
1431226800000,454723,917,740232
1431226800000,161476,364,698126
1431226800000,8734,283,188678 1095950 58077 620626 628903 1095950 58077 620626 363530 1037519 1065413 429140 666094 856440 30603 653674 422565 260172 363530 113294 761457 1084349 452859 1170042 58077 267261 263517 653611 1339552 1291560 1095950 58077 653611 642930
1431226800000,62547,283,188678 1095950 58077 620626 770516 1095950 58077 620626 1082603 110 59694 1163566 96063 707081 1010114 669909 780028 1192767 754846 30603 1238719 703408 551087 799299 658406 58077 597656 5041 59310 30603 541171 1339552 1262216 1244358 963104 1128577 807759
1431226800000,6555,678,892470
1431226800000,257678,764,1285872
1431226800000,320569,283,1249027 212349 1306433 212349 1306433 709456 411617 625815 716033 237874 996394 1323749 n588.000 606827 n1476.000 424566 834282 312815 207856 610340 725935 718248 31477 386817 766810 1179420 1244358 366168 487760 621351 30603 397550 1158829
1431226800000,149130,6,610340 431733
1431226800000,267650,283,809780 237874 1262412 92706 699904 n24000.000 308935 809780 92706 809749 639502 895041 30603 604620 860396 23485 437251 809780 31552 727209 621351 996291 377069 639502 325894 945042 1244358 136817 1216780 729123
1431226800000,439697,112,679677
1431226800000,292262,888,733194 432947 302848 237874 880800
1431226800000,180383,790,n67680.000
1431226800000,311441,1081,769062
1431226800000,406404,917,1197622 430190 118121 927133
1431226800000,41112,6,253511
1431226800000,86812,categoryid,64
1431226800000,160587,364,1317380
1431226800000,417823,364,756295
1431226800000,180689,6,529750
1431226800000,212924,888,1248789
1431226800000,99643,685,n1371.600
1431226800000,444306,71,43600
1431226800000,428970,764,1285872
1431226800000,63851,364,948089
1431226800000,36177,categoryid,343
1431226800000,286797,6,767591
1431226800000,270957,776,446547
1431226800000,213380,6,162014 1157517
1431226800000,381615,917,288696 n8076.000 83563
1431226800000,466586,764,1285872
1431226800000,159014,112,679677
1431226800000,408695,112,679677
1431226800000,215476,776,384252
1431226800000,395124,283,225920 499679 980540 1287302 225920 499679 980540 461163 639502 608738 500957 232233 880027 714516 150169 725792 1296483 237874 883577 640546 150169 712880 681821 30603 590873 448741 261772 945360 827388 503398 127120
1431226800000,396886,678,1055803
1431226800000,309519,available,0
1431226800000,272429,categoryid,613
1431226800000,253320,805,n12.000
1431226800000,276900,283,253511 1046806 923740 400759 86754 n2400.000 708969
1431226800000,10585,categoryid,126
1431226800000,309959,888,923193 82519
1431226800000,84548,764,1285872
1431226800000,117112,917,937924 1106886
1431226800000,170972,917,n36.000 1310554 304758 489097 150189
1431226800000,72789,112,679677
1431226800000,289298,764,1285872
1431226800000,131916,159,519769
1431226800000,422981,159,519769
1431226800000,338637,364,963840
1431226800000,446136,112,679677
1431226800000,113993,159,519769
1431226800000,440470,888,629801 n26580.000
1431226800000,88914,available,0
1431226800000,105379,283,910826 65390 603111 65390 264392 603111 198900 280604 150169 610517 1297729 1015213 237874 457851 1288184 346130 429593 1046647 365943 388083 30603 1072981 910826 657346 610340 205513 653611 132466 572230
1431226800000,356144,888,866645 1023101 1162076
1431226800000,283891,283,1308244 1315989 1220153 253573 485154 243563 1264031 n780.000 813443 1009435 1220153 253573 485154 243563 1264031 369941 1197736 1297729 605719 639502 826838 1308244 1056346 277119 312815 375545 695403 1002898 1308244 249416 435989 942064 1128577 1276569 410229
1431226800000,316489,283,1314495 286484 867720 n4800.000 594471 985692 651937 770436 1023101 286484 867720 n4800.000 594471 312815 1113810 1314495 1244358 1308676 263517 221948 434503 1215254 1133490 827166 1280644 1289687 1123948 1283044 1151941 30603 41929 575765 1136148 1096082 1184709 1065901
1431226800000,201811,888,226251 82788 237874 560303
1431226800000,463888,790,n67656.000
1431226800000,401051,categoryid,646
1431226800000,140112,categoryid,1250
1431226800000,20572,776,423691
1431226800000,235496,364,775424
1431226800000,209163,888,1095303 832057 879114
1431226800000,404344,790,n98640.000
1431226800000,437384,790,n215400.000
1431226800000,91667,776,989619
1431226800000,241518,678,245772
1431226800000,350398,764,1285872
1431226800000,132328,6,1037891
1431226800000,149405,6,853022
